titulo,artista
Wirito,6 voltios
Take on me,a-ha
Hole In My Soul,Aerosmith
El tiempo,Afrodisiaco
Decir adios,Amén
La chata,Amén
Te quiero,Amén
Loco,Andrés Calamaro
Flaca,Andrés Calamaro
El rey del Ah Ah Ah,Arena hash
Y es que sucede así,Arena hash
Like a stone,Audioslave
Todo lo que quieres es bailar,Bacilos
Cariñito,Bareto
how deep is your love,Bee gees
Song 2 - 2012 Remaster,Blur
Could you be loved,Bob Marley & The Wailers
Como yo nadie te ha amado,Bon Jovi
Livin' On A Prayer,Bon Jovi
Dancing In the Dark,Bruce Springsteen
Demoliendo hoteles,Charly García
Carreteras mojadas,Christian Meier
Quedate,Christian Meier
Yellow,Coldplay
Diablo,Compay Quinto
Es por ti,Cómplices
Nada fue un error,Coti
Accidentally in love,Counting Crows
Have you ever seen the rain,Creedence Clearwater Revival
Don't Dream It's Over,Crowded House
Sin aliento,Danza Invisible
Maneater,Daryl Hall & John Oates
Highway Star - Remastered 2012,Deep purple
Smoke on the water,Deep purple
Que difícil es amar,Diego Bertie
Sultans of swing,Dire Straits
Rain,Dragon
En algún lugar,Duncan Dhu
Hotel California - 2013 Remaster,Eagles
Triste canción,El tri
La piedra redonda,El último de la fila
Como un burro amarrado,El último de la fila
Last train to London,Electric light orchestra
De la noche a la mañana,Elefante
Jailhouse rock,Elvis Presley
Chica de humo,Emmanuel
Francés limón,Enanitos Verdes
Te vi en un tren,Enanitos Verdes
La muralla verde,Enanitos Verdes
Lamento boliviano,Enanitos Verdes
Cada vez que digo adios,Enanitos Verdes
Tu carcel,Enanitos Verdes
Por el resto,Enanitos Verdes
Igual que ayer,Enanitos Verdes
Amores lejanos,Enanitos Verdes
Blancoazul,Enanitos Verdes
Guitarras blancas,Enanitos Verdes
Luz de día,Enanitos Verdes
Mariposas,Enanitos Verdes
El extraño del pelo largo,Enanitos Verdes
Mariposa tecknicolor,Fito Paez
Avenida Larco,Fragil
Faith - Remastered,George Michael
Es por amor,GIT
La calle es su lugar,GIT
Acaba de nacer,GIT
Tarado de cumpleaños,GIT
Siempre fuiste,GIT
Sentimiento original,Gondwana
American idiot,Green Day
Basket Case,Green Day
Sweet child of mind,Gun's and roses
Entre dos tierras,Héroes del Silencio
Maldito duende,Héroes del Silencio
Devuélveme a mi chica,Hombres G
Indiana,Hombres G
Venezia,Hombres G
La flaca,Jarabe de Palo
Ya no quiero más ska,JAS
Are you gonna by me girl,Jet
Feliz navidad,José Feliciano
Me enamora,Juanes
El duelo,La ley
Día cero,La ley
Mala sangre,La Liga del Sueño
Para no verte más,La Mosca Tse-Tse
Todos tenemos un amor,La Mosca Tse-Tse
Lobo-hombre en París,La unión
Ojos marrones,Lasso
Rock and Roll - Remaster,Led Zeppelin
Whole lotta love,Led Zeppelin
Are you gonna go my way,Lenny Kravitz
Again,Lenny Kravitz
Como un perro,Líbido
En esta habitación,Líbido
Líbido,Líbido
Tres,Líbido
Lunes por la madrugada,Los abuelos de la nada
Mil horas,Los abuelos de la nada
La guitarra,Los auténticos decadentes
Loco (tu forma de ser),Los auténticos decadentes
Elsa,Los Destellos
Tema el amor,Los Doltons
El genio del dub,Los Fabulosos Cadillacs
"Manuel Santillan, el León",Los Fabulosos Cadillacs
Colegiala,Los Ilusionistas
Puerto Mont,Los Iracundos
Eres mentirosa,Los Mirlos
La danza de los mirlos,Los Mirlos
Triciclo Perú,Los Mojarras
Estrechéz de corazón,Los Prisioneros
Por qué no se van,Los Prisioneros
Sexo,Los Prisioneros
Tren al sur,Los Prisioneros
El che y los Rolling Stones,Los Rancheros
Mucho mejor,Los Rodríguez
Sin documentos,Los Rodríguez
Sentimiento fatal,Los violadores
Ahora te puedes marchar,Luis Miguel
Clavado en un bar,Maná
Oye mi amor,Maná
Rayando el Sol,Maná
Corazon Espinado (feat. Mana),Maná & Santana
Suna,Mar de Copas
Tiroteo,Marc Seguí
She will be love,Maroon five
Overkill,Men At Work
Who Can It Be Now?,Men At Work
Beat it,Michael Jackson
Billie Jeam,Michael Jackson
Atado a un sentimiento,Miguel Mateos
Tirá para arriba,Miguel Mateos
Cuando seas grande,Miguel Mateos
Gimme the power,Molotov
Laura no está,Nek
Rape me,Nirvana
Smells Like Teen Spirit,Nirvana
Las torres,Nosequien y los Nosecuantos
Magdalena,Nosequien y los Nosecuantos
Wanderwall,Oasis
Live Is Life - Live,Opus
Black,Pearl Jam
Even flow,Pearl Jam
Cuéntame,Pedro Suárez-Vértiz
Me estoy enamorando,Pedro Suárez-Vértiz
Un vino una cerveza,Pedro Suárez-Vértiz
Show me the way - Live,Peter Frampton
"Crazy Little Thing Called Love - Live at Wembley Stadium, 13th July 1985",Queen
We will rock you,Queen
Losing My Religion,R.E.M.
Creep,Radiohead
Mujer amante,Rata Blanca
Around the world,Red Hot Chili Peppers
By the way,Red Hot Chili Peppers
Give it away,Red Hot Chili Peppers
Higher ground,Red Hot Chili Peppers
Scar tissue,Red Hot Chili Peppers
Lo peor de todo,Río
Carol quiere un viaje a Londres,Río
La bamba,Ritchie Valens
We belong together,Ritchie Valens
Black magic woman,Santana
Tacones rojos,Sebastián Yatra
All star,Smash Mouth
Persiana americana,Soda Stereo
Signos - Me Verás Volver Gira 2007,Soda Stereo
En la Ciudad de la Furia - En Vivo Me Verás Volver Gira 2007,Soda Stereo
Cuando pase el Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo
Prófugos - Me Verás Volver Gira 2007,Soda Stereo
Sobredosis de T.V. - Me Verás Volver Gira 2007,Soda Stereo
Juegos De Seducción - Remasterizado 2007,Soda Stereo
De Música Ligera - Remasterizado 2007,Soda Stereo
Trátame Suavemente - Remasterizado 2007,Soda Stereo
Corazón delator,Soda Stereo
Disco Eterno - El Último Concierto,Soda Stereo
Entre Caníbales - Remasterizado 2007,Soda Stereo
Estoy azulado,Soda Stereo
Imágenes Retro - Me Verás Volver Gira 2007,Soda Stereo
Lago en el cielo,Soda Stereo
El Rito - El Último Concierto,Soda Stereo
Nada personal,Soda Stereo
Picnic En El 4° B - Me Verás Volver Gira 2007,Soda Stereo
Séptimo día,Soda Stereo
Tele-Ka - Me Verás Volver Gira 2007,Soda Stereo
Te Hacen Falta Vitaminas - Remasterizado 2007,Soda Stereo
Un misil en mi placard,Soda Stereo
Vita-Set - Remasterizado 2007,Soda Stereo
Zoom,Soda Stereo
Born to be wild,Steppenwolf
Plush,Stone Temple Pilots
Santeria,Sublime
Come together,The Beatles
I Saw Her Standing There - Remastered 2009,The Beatles
Rock And Roll Music - Remastered 2009,The Beatles
Twist And Shout - Remastered 2009,The Beatles
Should I Stay or Should I Go,The clash
Boys don't cry,The Cure
My sharona,The Knack
Come out and play,The Offspring
Your love,The Outfield
Every breath you take,The Police
I can't get no (Satisfaction),The Rolling Stones
Talking in your sleep,The Romantics
(Oh) Pretty Woman - 2015 Remaster,Van Halen
Mojada,Vilma Palma e Vampiros
Auto rojo,Vilma Palma e Vampiros
Bye bye bye,Vilma Palma e Vampiros
La pachanga,Vilma Palma e Vampiros
Me vuelvo loco por vos,Vilma Palma e Vampiros
Te quiero tanto,Vilma Palma e Vampiros
Travestis,Vilma Palma e Vampiros
Luna de miel,Virus
Pronta entrega,Virus
Quédate,Zen
