archivo,caracteres,lineas_totales,lineas_no_vacias,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
001_🇦🇷 EL CHE Y LOS ROLLING.txt,1302,65,50,11,True,False,False,False,False
002_🇦🇷 PRONTA ENTREGA.txt,3344,85,72,0,False,True,False,False,False
003_🇪🇸 LOBO-HOMBRE EN PARIS.txt,1722,73,63,25,True,True,True,False,False
004_🇪🇸 SIN ALIENTO.txt,2258,92,75,21,True,True,False,False,False
005_🇵🇪 Y ES QUE SUCEDE ASI.txt,1843,72,57,6,True,True,False,False,False
006_🇵🇪 YA NO QUIERO MAS SKA.txt,2651,76,54,25,True,False,True,False,False
007_🇺🇸 HAVE YOU EVER SEEN THE RAIN.txt,1483,73,57,20,True,False,False,False,False
008_🇨🇴  ME ENAMORA.txt,2030,77,69,23,True,False,False,False,False
009_🇪🇸 LA PIEDRA REDONDA ✅.txt,3217,83,65,33,True,False,True,False,False
010_🇪🇸 DE LA NOCHE A LA MAÑANA ✅.txt,1904,76,62,16,True,False,True,False,False
011_🇦🇷 EN LA CIUDAD DE LA FURIA✅.txt,1196,48,39,0,False,False,False,False,False
012_🇦🇷 CUANDO PASE EL TEMBLOR ✅.txt,1775,66,54,20,True,False,True,False,False
013_🇦🇷 TRÁTAME SUAVEMENTE ✅.txt,1528,46,38,16,True,False,False,False,False
014_🇦🇷 NADA PERSONAL ✅.txt,1252,54,45,8,True,True,True,False,False
015_🇦🇷 DISCO ETERNO.txt,801,53,36,3,True,False,False,False,False
016_🇦🇷 AMORES LEJANOS ✅✅.txt,1654,52,43,7,True,False,True,False,False
017_🇦🇷 UN MISIL EN MI PLACARD ✅.txt,1750,57,46,10,True,True,True,False,False
018_🇦🇷 ESTOY AZULADO ✅.txt,787,23,15,7,True,False,False,False,False
019_🇦🇷 IMAGENES RETRO ✅✅.txt,1517,51,40,11,True,False,True,False,False
020_🇦🇷 LA MURALLA VERDE ✅.txt,1389,58,47,12,True,False,False,False,False
021_🇦🇷 LAMENTO BOLIVIANO ✅.txt,1431,61,51,18,True,False,False,False,False
022_🇦🇷 IGUAL QUE AYER ✅.txt,3546,102,88,46,True,False,True,False,False
023_🇦🇷 BLANCOAZUL ✅.txt,2099,60,47,10,True,True,True,False,False
024_🇦🇷 TE VI EN UN TREN ✅.txt,2065,62,50,21,True,False,True,False,False
025_🇦🇷 POR EL RESTO ✅.txt,1815,54,43,19,True,False,True,False,False
026_🇦🇷 CUANDO PASE EL TEMBLOR.txt,1923,98,76,34,True,False,False,False,False
027_🇦🇷 EL RITO.txt,1558,68,55,10,True,True,True,False,False
028_🇦🇷 ENTRE CANIBALES ✅.txt,1190,33,27,11,True,False,True,False,False
029_🇦🇷 CRIMEN.txt,1501,73,57,28,True,True,True,False,False
030_🇺🇸 BLACK ✅.txt,3691,127,100,27,True,False,True,False,False
031_🇦🇷 CADA VEZ QUE DIGO ADIOS ✅✅✅.txt,2047,82,71,22,True,False,True,False,False
032_🇦🇷 ZOOM.txt,856,44,37,3,True,True,True,False,False
033_B-7 🇦🇷 PRÓFUGOS  ✅✅.txt,2097,69,59,28,True,False,True,False,False
034_🇦🇷 PERSIANA AMERICANA  ✅.txt,1852,76,61,19,True,False,True,False,False
035_🇦🇷 GUITARRAS BLANCAS ✅.txt,1513,67,55,7,True,False,True,False,False
036_🇦🇷 FRANCÉS LIMÓN ✅.txt,2633,91,77,31,True,False,False,False,False
037_🇦🇷.txt,3,1,1,0,False,False,False,True,True
038_🇲🇽 TRISTE CANCIÓN.txt,1497,40,33,11,True,False,True,False,False
039_🇦🇷 BYE BYE.txt,2571,69,54,15,True,True,True,False,False
040_🇦🇷 TE QUIERO TANTO.txt,1944,70,59,0,False,True,True,False,False
041_🇨🇱 EL DUELO.txt,1247,54,44,19,True,False,False,False,False
042_🇬🇧 SONG 2 ✅.txt,1251,49,41,16,True,True,True,False,False
043_🇺🇸 BORN TO BE WILD.txt,1661,65,53,19,True,False,False,False,False
044_🇦🇷 MIL HORAS.txt,2065,76,63,23,True,False,True,False,False
045_🇪🇸 SIN DOCUMENTOS ✅.txt,2143,66,53,7,True,True,True,False,False
046_🇦🇷 DE MÚSICA LIGERA ✅.txt,759,39,29,0,False,False,False,False,False
047_🇦🇷 TE HACEN FALTA VITAMINAS  ✅.txt,1282,50,40,8,True,False,False,False,False
048_🇦🇷 SOBREDOSIS DE TV ✅.txt,1463,69,55,9,True,False,True,False,False
049_🇦🇷 SIGNOS ✅.txt,871,40,27,2,True,False,False,False,False
050_🇦🇷 PRÓFUGOS  ✅.txt,2162,75,64,33,True,False,True,False,False
051_🇦🇷 TU CÁRCEL ✅ (VIVO).txt,1351,39,32,9,True,False,True,False,False
052_🇦🇷 EL EXTRAÑO DE PELO LARGO ✅.txt,1620,42,34,17,True,False,True,False,False
053_🇦🇷 MOJADA - VIVO✅.txt,5004,174,142,70,True,False,True,False,False
054_🇦🇷 TRAVESTIS ✅.txt,2075,71,55,12,True,False,True,False,False
055_🇦🇷 LA PACHANGA ✅.txt,2380,102,84,0,False,False,False,False,False
