archivo,caracteres,lineas_no_vacias,notacion_detectada,hits_evidencia_en,hits_evidencia_solfa,lineas_acorde_detectadas,tiene_acordes,tiene_caracter_reemplazo,tiene_tabs,titulo_sospechoso,muy_corta
001_🇦🇷 EL CHE Y LOS ROLLING.txt,1302,50,ninguna,0,0,0,False,False,False,False,False
002_🇦🇷 PRONTA ENTREGA.txt,3344,72,ninguna,0,0,0,False,True,False,False,False
003_🇪🇸 LOBO-HOMBRE EN PARIS.txt,1722,63,ninguna,0,0,0,False,True,True,False,False
004_🇪🇸 SIN ALIENTO.txt,2258,75,ninguna,0,0,0,False,True,False,False,False
005_🇵🇪 Y ES QUE SUCEDE ASI.txt,1843,57,ninguna,0,0,0,False,True,False,False,False
006_🇵🇪 YA NO QUIERO MAS SKA.txt,2651,54,ninguna,0,0,0,False,False,True,False,False
007_🇺🇸 HAVE YOU EVER SEEN THE RAIN.txt,1483,57,ninguna,0,0,0,False,False,False,False,False
008_🇨🇴  ME ENAMORA.txt,2030,69,ninguna,0,0,0,False,False,False,False,False
009_🇪🇸 LA PIEDRA REDONDA ✅.txt,3217,65,ninguna,0,0,0,False,False,True,False,False
010_🇪🇸 DE LA NOCHE A LA MAÑANA ✅.txt,1904,62,ninguna,0,0,0,False,False,True,False,False
011_🇦🇷 EN LA CIUDAD DE LA FURIA✅.txt,1196,39,ninguna,0,0,0,False,False,False,False,False
012_🇦🇷 CUANDO PASE EL TEMBLOR ✅.txt,1775,54,ninguna,0,0,0,False,False,True,False,False
013_🇦🇷 TRÁTAME SUAVEMENTE ✅.txt,1528,38,ninguna,0,0,0,False,False,False,False,False
014_🇦🇷 NADA PERSONAL ✅.txt,1252,45,ninguna,0,0,0,False,True,True,False,False
015_🇦🇷 DISCO ETERNO.txt,801,36,ninguna,0,0,0,False,False,False,False,False
016_🇦🇷 AMORES LEJANOS ✅✅.txt,1654,43,ninguna,0,0,0,False,False,True,False,False
017_🇦🇷 UN MISIL EN MI PLACARD ✅.txt,1750,46,ninguna,0,0,0,False,True,True,False,False
018_🇦🇷 ESTOY AZULADO ✅.txt,787,15,ninguna,0,0,0,False,False,False,False,False
019_🇦🇷 IMAGENES RETRO ✅✅.txt,1517,40,ninguna,0,0,0,False,False,True,False,False
020_🇦🇷 LA MURALLA VERDE ✅.txt,1389,47,ninguna,0,0,0,False,False,False,False,False
021_🇦🇷 LAMENTO BOLIVIANO ✅.txt,1431,51,ninguna,0,0,0,False,False,False,False,False
022_🇦🇷 IGUAL QUE AYER ✅.txt,3546,88,ninguna,0,0,0,False,False,True,False,False
023_🇦🇷 BLANCOAZUL ✅.txt,2099,47,ninguna,0,0,0,False,True,True,False,False
024_🇦🇷 TE VI EN UN TREN ✅.txt,2065,50,ninguna,0,0,0,False,False,True,False,False
025_🇦🇷 POR EL RESTO ✅.txt,1815,43,ninguna,0,0,0,False,False,True,False,False
026_🇦🇷 CUANDO PASE EL TEMBLOR.txt,1923,76,ninguna,0,0,0,False,False,False,False,False
027_🇦🇷 EL RITO.txt,1558,55,ninguna,0,0,0,False,True,True,False,False
028_🇦🇷 ENTRE CANIBALES ✅.txt,1190,27,ninguna,0,0,0,False,False,True,False,False
029_🇦🇷 CRIMEN.txt,1501,57,ninguna,0,0,0,False,True,True,False,False
030_🇺🇸 BLACK ✅.txt,3691,100,ninguna,0,0,0,False,False,True,False,False
031_🇦🇷 CADA VEZ QUE DIGO ADIOS ✅✅✅.txt,2047,71,ninguna,0,0,0,False,False,True,False,False
032_🇦🇷 ZOOM.txt,856,37,ninguna,0,0,0,False,True,True,False,False
033_B-7 🇦🇷 PRÓFUGOS  ✅✅.txt,2097,59,ninguna,0,0,0,False,False,True,False,False
034_🇦🇷 PERSIANA AMERICANA  ✅.txt,1852,61,ninguna,0,0,0,False,False,True,False,False
035_🇦🇷 GUITARRAS BLANCAS ✅.txt,1513,55,ninguna,0,0,0,False,False,True,False,False
036_🇦🇷 FRANCÉS LIMÓN ✅.txt,2633,77,ninguna,0,0,0,False,False,False,False,False
037_🇦🇷.txt,3,1,ninguna,0,0,0,False,False,False,True,True
038_🇲🇽 TRISTE CANCIÓN.txt,1497,33,ninguna,0,0,0,False,False,True,False,False
039_🇦🇷 BYE BYE.txt,2571,54,ninguna,0,0,0,False,True,True,False,False
040_🇦🇷 TE QUIERO TANTO.txt,1944,59,ninguna,0,0,0,False,True,True,False,False
041_🇨🇱 EL DUELO.txt,1247,44,ninguna,0,0,0,False,False,False,False,False
042_🇬🇧 SONG 2 ✅.txt,1251,41,ninguna,0,0,0,False,True,True,False,False
043_🇺🇸 BORN TO BE WILD.txt,1661,53,ninguna,0,0,0,False,False,False,False,False
044_🇦🇷 MIL HORAS.txt,2065,63,ninguna,0,0,0,False,False,True,False,False
045_🇪🇸 SIN DOCUMENTOS ✅.txt,2143,53,ninguna,0,0,0,False,True,True,False,False
046_🇦🇷 DE MÚSICA LIGERA ✅.txt,759,29,ninguna,0,0,0,False,False,False,False,False
047_🇦🇷 TE HACEN FALTA VITAMINAS  ✅.txt,1282,40,ninguna,0,0,0,False,False,False,False,False
048_🇦🇷 SOBREDOSIS DE TV ✅.txt,1463,55,ninguna,0,0,0,False,False,True,False,False
049_🇦🇷 SIGNOS ✅.txt,871,27,ninguna,0,0,0,False,False,False,False,False
050_🇦🇷 PRÓFUGOS  ✅.txt,2162,64,ninguna,0,0,0,False,False,True,False,False
051_🇦🇷 TU CÁRCEL ✅ (VIVO).txt,1351,32,ninguna,0,0,0,False,False,True,False,False
052_🇦🇷 EL EXTRAÑO DE PELO LARGO ✅.txt,1620,34,ninguna,0,0,0,False,False,True,False,False
053_🇦🇷 MOJADA - VIVO✅.txt,5004,142,ninguna,0,0,0,False,False,True,False,False
054_🇦🇷 TRAVESTIS ✅.txt,2075,55,ninguna,0,0,0,False,False,True,False,False
055_🇦🇷 LA PACHANGA ✅.txt,2380,84,ninguna,0,0,0,False,False,False,False,False
056_🇦🇷 AÚN SIGO CANTANDO.txt,1894,54,ninguna,0,0,0,False,False,True,False,False
057_🇦🇷 SIGNOS.txt,1646,89,ninguna,0,0,0,False,False,False,False,False
058_🇦🇷 GUITARRAS BLANCAS.txt,1473,56,ninguna,0,0,0,False,False,True,False,False
059_🇺🇸 COME AS YOU ARE.txt,1513,73,ninguna,0,0,0,False,False,False,False,False
060_🇺🇸 RAPE ME.txt,1604,53,ninguna,0,0,0,False,False,True,False,False
061_🇵🇪 DECIR ADIOS.txt,2155,75,ninguna,0,0,0,False,False,False,False,False
062_🇬🇧 ROCK AND ROLL.txt,1869,61,ninguna,0,0,0,False,False,False,False,False
063_🇬🇧 WHOLE LOTTA LOVE.txt,1090,28,ninguna,0,0,0,False,False,False,False,False
064_🇦🇷 MARIPOSA TECNICOLOR.txt,1162,37,ninguna,0,0,0,False,False,False,False,False
065_🇦🇷 FLACA ✅.txt,837,35,ninguna,0,0,0,False,False,False,False,False
066_🇦🇷 NADA FUE UN ERROR ✅.txt,2796,89,ninguna,0,0,0,False,False,True,False,False
067_🇵🇪 SUNA.txt,2467,81,ninguna,0,0,0,False,False,True,False,False
068_🇵🇪 TRES.txt,1002,40,ninguna,0,0,0,False,True,False,False,False
069_🇵🇪 EN ESTA HABITACIÒN.txt,2242,78,ninguna,0,0,0,False,False,False,False,False
070_🇬🇧 ROCK AND ROLL.txt,1868,64,ninguna,0,0,0,False,False,False,False,False
071_🇺🇸 SULTANS OF SWING.txt,3739,97,ninguna,0,0,0,False,True,False,False,False
072_🇵🇪 LO PEOR DE TODO.txt,4435,97,ninguna,0,0,0,False,False,False,False,False
073_🇺🇸 ACCIDENTALY IN LOVE.txt,3841,78,ninguna,0,0,0,False,False,True,False,False
074_🇦🇷 MUCHO MEJOR.txt,2473,99,ninguna,0,0,0,False,False,False,False,False
075_🇦🇷 TELE-KA.txt,1752,65,ninguna,0,0,0,False,False,False,False,False
076_🇦🇹 LIFE IS LIFE.txt,935,39,ninguna,0,0,0,False,False,False,False,False
077_🇦🇺 DON’T DREAM IS OVER.txt,2982,83,ninguna,0,0,0,False,False,False,False,False
078_🇪🇸 MALDITO DUENDE.txt,1538,75,ninguna,0,0,0,False,False,False,False,False
079_🇨🇱 ESTRECHEZ DE CORAZÓN.txt,1916,78,ninguna,0,0,0,False,False,False,False,False
080_🇳🇴 TAKE ON ME.txt,949,42,ninguna,0,0,0,False,False,False,False,False
081_🇲🇽 CHICA DE HUMO.txt,3129,76,ninguna,0,0,0,False,False,False,False,False
082_🇦🇷 MUJER AMANTE.txt,2883,79,ninguna,0,0,0,False,False,False,False,False
083_🇺🇸 FAITH.txt,2156,65,ninguna,0,0,0,False,False,False,False,False
084_🇵🇪 WIRITO - Luisa.txt,3829,141,ninguna,0,0,0,False,False,False,False,False
085_🇨🇱 TREN AL SUR.txt,2507,117,ninguna,0,0,0,False,False,False,False,False
086_🇦🇷 TODOS TENEMOS UN AMOR.txt,2478,95,ninguna,0,0,0,False,False,False,False,False
087_🇨🇴 TODO LO QUE QUIERES ES BAILAR.txt,2237,83,ninguna,0,0,0,False,False,False,False,False
088_🇺🇸 SMELLS LIKE TEEN SPIRIT.txt,2320,153,ninguna,0,0,0,False,False,False,False,False
089_🇵🇪 COMO UN PERRO.txt,1935,55,ninguna,0,0,0,False,False,False,False,False
090_🇨🇴 OJOS MARRONES.txt,1636,72,ninguna,0,0,0,False,False,False,False,False
091_🇦🇷 EL GENIO DEL DUB.txt,1478,23,ninguna,0,0,0,False,False,False,False,False
092_🇦🇷 AUTO ROJO.txt,3555,102,ninguna,0,0,0,False,False,True,False,False
093_🇺🇸 AMERICAN IDIOT.txt,2492,77,ninguna,0,0,0,False,False,False,False,False
094_🇪🇸 INDIANA JONES.txt,2552,60,ninguna,0,0,0,False,False,True,False,False
095_🇦🇷 ATADO A UN SETIMIENTO.txt,1632,54,ninguna,0,0,0,False,True,False,False,False
096_🇦🇷 ES POR AMOR.txt,4799,165,ninguna,0,0,0,False,True,False,False,False
097_🇬🇧WOMAN.txt,2157,69,ninguna,0,0,0,False,False,False,False,False
098_🇺🇸 BEAT IT.txt,2266,14,ninguna,0,0,0,False,False,False,False,False
099_🇬🇧 I SAW HER STANDING THERE.txt,2236,75,ninguna,0,0,0,False,False,False,False,False
100_🇺🇸 BOYS DONT CRY.txt,2056,80,ninguna,0,0,0,False,False,True,False,False
101_🇵🇪 EL TIEMPO.txt,2165,70,ninguna,0,0,0,False,False,True,False,False
102_🇺🇸 OVERKILL.txt,1942,84,ninguna,0,0,0,False,False,False,False,False
103_🇵🇪 CUÉNTAME.txt,2107,70,ninguna,0,0,0,False,False,False,False,False
104_🇦🇷🇪🇸 MIX LOCO TU FORMA DE SER & TIROTEO.txt,2262,54,ninguna,0,0,0,False,False,False,False,False
105_🇦🇷 JUEGOS DE SEDUCCIÓN.txt,1731,58,ninguna,0,0,0,False,False,False,False,False
106_🇺🇸 LIKE A STONE.txt,2907,96,ninguna,0,0,0,False,False,False,False,False
107_🇺🇸 EVEN FLOW.txt,2791,71,ninguna,0,0,0,False,False,False,False,False
108_🇵🇪 EL REY DEL AH AH AH.txt,2064,78,ninguna,0,0,0,False,False,False,False,False
109_🇵🇪 MALA SANGRE.txt,1821,69,ninguna,0,0,0,False,True,False,False,False
110_🇵🇪 TE QUIERO.txt,2065,86,ninguna,0,0,0,False,False,False,False,False
111_🇦🇷SENTIMIENTO FATAL.txt,1098,56,ninguna,0,0,0,False,False,False,False,False
112_🇺🇸 ALL START.txt,4108,109,ninguna,0,0,0,False,False,False,False,False
113_🇺🇸 LIVING ON A PRAYER (Dm).txt,2748,102,ninguna,0,0,0,False,False,False,False,False
114_🇬🇧 WE WILL ROCK YOU.txt,805,9,ninguna,0,0,0,False,False,False,False,False
115_🇺🇸 HOTEL CALIFORNIA.txt,2450,70,ninguna,0,0,0,False,False,False,False,False
116_🇯🇲 COULD YOU BE LOVED.txt,2096,93,ninguna,0,0,0,False,False,False,False,False
117_🇵🇪 CAROL QUIERE UN VIAJE A LONDRES.txt,1555,39,ninguna,0,0,0,False,False,False,False,False
118_🇬🇧 HIGHWAY STAR.txt,2091,72,ninguna,0,0,0,False,False,False,False,False
119_🇲🇽 CLAVADO EN UN BAR.txt,4920,177,ninguna,0,0,0,False,False,False,False,False
